årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;202
1956;216
1957;146
1958;73
1959;109
1960;86
1961;78
1962;88
1963;110
1964;139
1965;170
1966;182
1967;146
1968;168
1969;164
1970;170
1971;169
1972;209
1973;258
1974;268
1975;315
1976;419
1977;370
1978;355
1979;399
1980;435
1981;550
1982;634
1983;757
1984;1034
1985;595
1986;497
1987;476
1988;518
1989;683
1990;412
1991;473
1992;525
1993;458
1994;479
1995;613
1996;614
1997;587
1998;727
1999;766
2000;772
2001;739
2002;840
2003;893
2004;879
2005;656
