årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;4468
1956;4252
1957;4298
1958;4738
1959;5574
1960;3558
1961;6148
1962;6664
1963;6815
1964;6995
1965;8485
1966;9165
1967;11340
1968;13749
1969;14792
1970;14153
1971;12297
1972;12028
1973;14038
1974;10661
1975;11898
1976;11697
1977;12154
1978;10428
1979;9303
1980;8398
1981;7286
1982;6619
1983;6886
1984;6590
1985;6100
1986;6063
1987;5617
1988;5299
1989;5440
1990;4713
1991;4067
1992;3035
1993;2580
1994;2111
1995;1952
1996;1740
1997;1633
1998;1628
1999;1625
2000;1296
2001;1471
2002;1472
2003;1371
2004;1304
2005;1255
