årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;1014
1956;917
1957;1167
1958;1178
1959;1115
1960;1076
1961;1135
1962;1219
1963;1335
1964;1436
1965;1479
1966;1765
1967;1645
1968;1821
1969;1692
1970;1487
1971;1485
1972;1552
1973;1475
1974;1580
1975;1573
1976;1601
1977;1575
1978;1640
1979;1585
1980;1750
1981;1870
1982;1888
1983;1990
1984;2108
1985;2307
1986;2269
1987;2196
1988;2443
1989;2927
1990;2942
1991;3478
1992;4037
1993;4778
1994;4813
1995;5192
1996;5181
1997;4510
1998;5174
1999;5127
2000;4987
2001;5466
2002;6005
2003;6642
2004;6477
2005;6436
