årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;269
1956;117
1957;85
1958;669
1959;805
1960;225
1961;335
1962;387
1963;255
1964;541
1965;240
1966;221
1967;815
1968;1722
1969;1238
1970;1117
1971;1003
1972;1049
1973;445
1974;602
1975;348
1976;732
1977;305
1978;506
1979;468
1980;508
1981;801
1982;876
1983;480
1984;402
1985;624
1986;969
1987;909
1988;851
1989;978
1990;1621
1991;2022
1992;2255
1993;2298
1994;1974
1995;1970
1996;3678
1997;2721
1998;3347
1999;3686
2000;3150
2001;2583
2002;2776
2003;2391
2004;3062
2005;3295
