årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;2522
1956;2613
1957;2939
1958;3021
1959;2715
1960;2840
1961;3450
1962;3532
1963;3257
1964;3673
1965;3505
1966;3584
1967;3393
1968;4171
1969;3322
1970;2385
1971;2442
1972;2702
1973;2730
1974;2835
1975;3416
1976;3109
1977;3072
1978;2764
1979;3007
1980;2675
1981;2590
1982;2562
1983;2747
1984;2820
1985;3680
1986;3437
1987;3237
1988;3061
1989;3165
1990;2121
1991;1489
1992;1555
1993;1847
1994;1987
1995;2608
1996;3351
1997;3374
1998;3291
1999;3164
2000;2825
2001;3257
2002;3648
2003;3802
2004;3639
2005;3437
