årstal;antal
1952;0
1953;0
1954;0
1955;1614
1956;1369
1957;1753
1958;1834
1959;3246
1960;2378
1961;3701
1962;4615
1963;2205
1964;2429
1965;3196
1966;449
1967;1014
1968;2845
1969;3849
1970;1920
1971;1164
1972;543
1973;705
1974;461
1975;1324
1976;956
1977;1628
1978;1256
1979;679
1980;1031
1981;957
1982;956
1983;1243
1984;2388
1985;3903
1986;2835
1987;3525
1988;4350
1989;5633
1990;6139
1991;6582
1992;3309
1993;2376
1994;1986
1995;2027
1996;659
1997;498
1998;456
1999;364
2000;295
2001;340
2002;554
2003;565
2004;658
2005;755
