årstal;antal
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;18679
1956;18167
1957;22383
1958;22091
1959;25195
1960;21697
1961;23442
1962;15117
1963;14308
1964;12325
1965;12176
1966;12066
1967;13605
1968;14888
1969;15408
1970;20854
1971;21798
1972;18924
1973;18711
1974;17721
1975;19309
1976;19559
1977;21101
1978;18583
1979;12788
1980;7480
1981;6067
1982;3637
1983;4066
1984;3940
1985;5476
1986;6134
1987;3483
1988;5965
1989;7376
1990;7499
1991;6936
1992;9212
1993;11723
1994;13377
1995;12598
1996;9229
1997;6782
1998;6281
1999;4571
2000;3340
2001;3147
2002;3357
2003;2696
2004;2134
2005;1931
