årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;191360
1956;161754
1957;186217
1958;203921
1959;242911
1960;216653
1961;255765
1962;221949
1963;223436
1964;234865
1965;244484
1966;258430
1967;261769
1968;281601
1969;289380
1970;359150
1971;360992
1972;341662
1973;349660
1974;321065
1975;340128
1976;312817
1977;302499
1978;290497
1979;281539
1980;263585
1981;282796
1982;283101
1983;267576
1984;255974
1985;268447
1986;260722
1987;253075
1988;262169
1989;287246
1990;285014
1991;275822
1992;288194
1993;293145
1994;271480
1995;297371
1996;251225
1997;205520
1998;219868
1999;229915
2000;194000
2001;202885
2002;214099
2003;222496
2004;215877
2005;213359
