årstal;antal
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;7531
1959;9089
1960;7766
1961;11708
1962;7749
1963;9109
1964;9478
1965;9718
1966;9741
1967;8078
1968;10146
1969;10768
1970;12754
1971;11544
1972;10075
1973;9430
1974;8210
1975;8164
1976;8236
1977;7682
1978;6971
1979;6521
1980;6839
1981;7150
1982;7435
1983;7598
1984;7310
1985;6904
1986;5409
1987;6744
1988;5758
1989;6670
1990;6757
1991;6907
1992;7010
1993;6203
1994;6180
1995;6578
1996;4999
1997;4842
1998;4332
1999;3667
2000;4883
2001;4646
2002;4752
2003;5316
2004;5083
2005;5381
