årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;4068
1956;2780
1957;3094
1958;4405
1959;4806
1960;3923
1961;4683
1962;5895
1963;4677
1964;4653
1965;3796
1966;4761
1967;4708
1968;4747
1969;4642
1970;6319
1971;6204
1972;5218
1973;6610
1974;5617
1975;5548
1976;4667
1977;3829
1978;2998
1979;2713
1980;3333
1981;6678
1982;3465
1983;3293
1984;3812
1985;2225
1986;1880
1987;2041
1988;1571
1989;2425
1990;2282
1991;2382
1992;1857
1993;2025
1994;2207
1995;1967
1996;2020
1997;1239
1998;946
1999;1735
2000;1973
2001;1683
2002;1772
2003;1215
2004;1298
2005;1020
