årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;57
1956;54
1957;32
1958;30
1959;30
1960;30
1961;33
1962;47
1963;23
1964;23
1965;13
1966;18
1967;25
1968;31
1969;28
1970;35
1971;66
1972;45
1973;28
1974;34
1975;45
1976;62
1977;143
1978;46
1979;27
1980;29
1981;38
1982;45
1983;54
1984;40
1985;57
1986;61
1987;57
1988;67
1989;205
1990;181
1991;102
1992;161
1993;139
1994;102
1995;117
1996;115
1997;117
1998;138
1999;138
2000;150
2001;123
2002;164
2003;178
2004;200
2005;252
