årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;12289
1959;14760
1960;13872
1961;17229
1962;13663
1963;13459
1964;15487
1965;17049
1966;18055
1967;15143
1968;21532
1969;19644
1970;23115
1971;23830
1972;20545
1973;19682
1974;15344
1975;19304
1976;17840
1977;16375
1978;17215
1979;14202
1980;14205
1981;18712
1982;23192
1983;19023
1984;20793
1985;15249
1986;16000
1987;14548
1988;15684
1989;20671
1990;17748
1991;17702
1992;25830
1993;17899
1994;16934
1995;20603
1996;13217
1997;13847
1998;12206
1999;12597
2000;13101
2001;11513
2002;11614
2003;11835
2004;9965
2005;11581
