årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;16240
1956;15317
1957;20558
1958;21129
1959;30111
1960;23448
1961;29242
1962;20567
1963;25644
1964;26439
1965;26230
1966;28565
1967;31312
1968;32688
1969;31906
1970;44614
1971;48528
1972;44362
1973;46400
1974;51540
1975;51314
1976;45255
1977;47934
1978;45587
1979;45809
1980;45378
1981;43278
1982;43298
1983;43128
1984;43924
1985;52254
1986;50079
1987;47760
1988;52339
1989;56240
1990;58360
1991;53887
1992;59194
1993;69384
1994;66307
1995;66112
1996;55855
1997;40332
1998;44687
1999;44358
2000;35519
2001;38953
2002;40768
2003;44820
2004;45455
2005;43507
