årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;407
1956;231
1957;355
1958;436
1959;492
1960;519
1961;566
1962;234
1963;392
1964;407
1965;396
1966;464
1967;434
1968;502
1969;480
1970;566
1971;649
1972;671
1973;848
1974;723
1975;859
1976;836
1977;629
1978;625
1979;507
1980;163
1981;151
1982;68
1983;97
1984;109
1985;128
1986;100
1987;117
1988;137
1989;147
1990;167
1991;167
1992;90
1993;185
1994;139
1995;153
1996;211
1997;329
1998;212
1999;194
2000;147
2001;97
2002;182
2003;57
2004;133
2005;48
