årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;28307
1956;13407
1957;16374
1958;20680
1959;23582
1960;15890
1961;23233
1962;22112
1963;20937
1964;19851
1965;20455
1966;21030
1967;20640
1968;23426
1969;30507
1970;28749
1971;30922
1972;32097
1973;33199
1974;28740
1975;33735
1976;30958
1977;32799
1978;36754
1979;42257
1980;44752
1981;53231
1982;51836
1983;51450
1984;47825
1985;54592
1986;54649
1987;57944
1988;61221
1989;57337
1990;53885
1991;55222
1992;58801
1993;62869
1994;63637
1995;73115
1996;60654
1997;53819
1998;62038
1999;67471
2000;49971
2001;51655
2002;54140
2003;53025
2004;49587
2005;46320
