årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;94
1956;40
1957;88
1958;262
1959;138
1960;328
1961;270
1962;176
1963;324
1964;281
1965;215
1966;362
1967;539
1968;103
1969;775
1970;296
1971;207
1972;207
1973;155
1974;110
1975;303
1976;332
1977;237
1978;257
1979;190
1980;216
1981;214
1982;249
1983;301
1984;308
1985;193
1986;235
1987;182
1988;211
1989;142
1990;479
1991;288
1992;178
1993;345
1994;238
1995;425
1996;312
1997;310
1998;374
1999;373
2000;447
2001;516
2002;569
2003;612
2004;667
2005;699
