årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;22120
1956;21852
1957;25273
1958;23721
1959;26084
1960;22563
1961;25182
1962;18870
1963;18948
1964;17904
1965;17469
1966;17911
1967;18277
1968;18031
1969;16753
1970;22917
1971;22839
1972;20731
1973;19886
1974;20563
1975;20646
1976;19534
1977;18599
1978;16842
1979;14415
1980;14518
1981;14035
1982;13594
1983;13777
1984;13761
1985;14425
1986;13548
1987;10598
1988;11321
1989;12010
1990;11343
1991;10865
1992;13313
1993;16763
1994;16706
1995;18577
1996;16033
1997;11087
1998;11141
1999;8560
2000;6516
2001;5298
2002;4780
2003;4332
2004;4144
2005;3766
