årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;46
1956;21
1957;38
1958;64
1959;47
1960;63
1961;63
1962;64
1963;60
1964;72
1965;83
1966;79
1967;79
1968;66
1969;79
1970;183
1971;197
1972;182
1973;211
1974;229
1975;298
1976;280
1977;412
1978;551
1979;569
1980;610
1981;732
1982;933
1983;864
1984;730
1985;855
1986;841
1987;749
1988;545
1989;442
1990;486
1991;347
1992;390
1993;412
1994;341
1995;357
1996;411
1997;509
1998;632
1999;659
2000;485
2001;613
2002;530
2003;719
2004;609
2005;520
