årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;15895
1956;14776
1957;15403
1958;14246
1959;16570
1960;16308
1961;17774
1962;15905
1963;16960
1964;19545
1965;19924
1966;21581
1967;20852
1968;19808
1969;19143
1970;25117
1971;23716
1972;22101
1973;19663
1974;16516
1975;15590
1976;13653
1977;12290
1978;11328
1979;10803
1980;9536
1981;9126
1982;7432
1983;5179
1984;5093
1985;5721
1986;5022
1987;5102
1988;4861
1989;5464
1990;5359
1991;4932
1992;4331
1993;3595
1994;2408
1995;3380
1996;3523
1997;2922
1998;2939
1999;3356
2000;2527
2001;2650
2002;2704
2003;3162
2004;2896
2005;2916
