årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;23466
1956;19639
1957;19416
1958;18781
1959;23564
1960;22991
1961;24287
1962;23220
1963;24216
1964;24506
1965;26232
1966;29039
1967;27465
1968;31122
1969;34694
1970;49233
1971;48226
1972;44715
1973;47129
1974;41838
1975;43521
1976;38066
1977;33537
1978;32601
1979;33995
1980;30351
1981;29761
1982;23761
1983;16176
1984;14355
1985;13721
1986;13579
1987;12534
1988;12960
1989;13879
1990;13079
1991;11788
1992;9087
1993;7633
1994;5700
1995;7570
1996;7458
1997;6216
1998;6289
1999;8911
2000;5832
2001;6203
2002;7597
2003;10706
2004;8479
2005;10460
