årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;79
1956;73
1957;86
1958;137
1959;56
1960;74
1961;49
1962;46
1963;48
1964;48
1965;72
1966;60
1967;65
1968;44
1969;47
1970;62
1971;56
1972;104
1973;99
1974;95
1975;167
1976;261
1977;216
1978;223
1979;152
1980;105
1981;167
1982;120
1983;138
1984;120
1985;167
1986;193
1987;186
1988;185
1989;211
1990;257
1991;283
1992;338
1993;354
1994;375
1995;385
1996;412
1997;389
1998;492
1999;449
2000;461
2001;449
2002;502
2003;513
2004;548
2005;563
