årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;5247
1956;3954
1957;4128
1958;6597
1959;6744
1960;6525
1961;7857
1962;8362
1963;8284
1964;9627
1965;11691
1966;13303
1967;14547
1968;17608
1969;18245
1970;22269
1971;21479
1972;21498
1973;24121
1974;20753
1975;22763
1976;21470
1977;20022
1978;19153
1979;19568
1980;18334
1981;17503
1982;17339
1983;16910
1984;14094
1985;13769
1986;11359
1987;11321
1988;10880
1989;11940
1990;9143
1991;8465
1992;7292
1993;5823
1994;3727
1995;4865
1996;3559
1997;2989
1998;3085
1999;2854
2000;2580
2001;2863
2002;2406
2003;3123
2004;2561
2005;2408
