årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;29971
1956;25314
1957;30790
1958;23252
1959;29748
1960;29257
1961;33080
1962;30163
1963;27155
1964;33996
1965;37427
1966;39206
1967;43349
1968;38669
1969;36930
1970;38006
1971;34918
1972;34618
1973;36123
1974;29553
1975;32418
1976;29765
1977;28347
1978;25017
1979;23912
1980;18512
1981;18153
1982;18778
1983;22225
1984;19472
1985;22094
1986;23114
1987;21581
1988;22657
1989;29335
1990;29801
1991;29299
1992;29614
1993;24579
1994;15412
1995;15755
1996;15091
1997;12202
1998;11923
1999;13071
2000;11293
2001;14215
2002;14028
2003;15411
2004;16189
2005;17277
