årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;2251
1956;2005
1957;2386
1958;2283
1959;2471
1960;2242
1961;2109
1962;2054
1963;2349
1964;2368
1965;2466
1966;2397
1967;2398
1968;2008
1969;2379
1970;3136
1971;2964
1972;3075
1973;2823
1974;3265
1975;3339
1976;3560
1977;3642
1978;3754
1979;3704
1980;3570
1981;4101
1982;4366
1983;5039
1984;5204
1985;6016
1986;6214
1987;5814
1988;6045
1989;7143
1990;7423
1991;7847
1992;8695
1993;10707
1994;10818
1995;12241
1996;13066
1997;11207
1998;12631
1999;12776
2000;10834
2001;11408
2002;11347
2003;12641
2004;12476
2005;12493
