årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;8070
1956;10153
1957;10389
1958;8838
1959;6761
1960;6685
1961;6745
1962;8512
1963;9266
1964;9617
1965;12343
1966;10515
1967;12943
1968;16913
1969;17216
1970;22200
1971;25651
1972;25981
1973;25182
1974;25485
1975;21653
1976;24658
1977;20525
1978;19822
1979;20810
1980;17686
1981;19952
1982;18281
1983;17089
1984;17303
1985;17907
1986;17850
1987;17981
1988;15730
1989;18266
1990;23606
1991;20250
1992;18023
1993;23367
1994;19729
1995;20547
1996;21649
1997;15046
1998;15911
1999;19449
2000;16882
2001;18903
2002;22635
2003;20589
2004;21670
2005;20592
