årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;4911
1956;4398
1957;4664
1958;4425
1959;4974
1960;4924
1961;6167
1962;5534
1963;6246
1964;6665
1965;6536
1966;6445
1967;6691
1968;7252
1969;6856
1970;8999
1971;9546
1972;8715
1973;7926
1974;7453
1975;7957
1976;7347
1977;7435
1978;6536
1979;7415
1980;7008
1981;6539
1982;6776
1983;6516
1984;6255
1985;7723
1986;6948
1987;7119
1988;6909
1989;7504
1990;7626
1991;5956
1992;4430
1993;3376
1994;2240
1995;1925
1996;2506
1997;2287
1998;3274
1999;3982
2000;3476
2001;3795
2002;3985
2003;4534
2004;4215
2005;4247
