årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;474
1956;608
1957;508
1958;908
1959;1096
1960;823
1961;1148
1962;1274
1963;957
1964;637
1965;627
1966;612
1967;780
1968;667
1969;797
1970;1537
1971;1114
1972;912
1973;1711
1974;1257
1975;1771
1976;1305
1977;1612
1978;2500
1979;1482
1980;1173
1981;1271
1982;1125
1983;1174
1984;1185
1985;1112
1986;1738
1987;1764
1988;1320
1989;1793
1990;2211
1991;1882
1992;3099
1993;2448
1994;2018
1995;2023
1996;2375
1997;1641
1998;1742
1999;1763
2000;2317
2001;2553
2002;3025
2003;1961
2004;2864
2005;2225
