årstal;antal
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;0
1959;0
1960;0
1961;0
1962;0
1963;0
1964;0
1965;0
1966;0
1967;0
1968;0
1969;0
1970;5736
1971;5677
1972;4586
1973;5456
1974;5152
1975;6727
1976;7105
1977;7251
1978;6531
1979;5919
1980;3886
1981;3252
1982;2263
1983;2727
1984;2390
1985;2546
1986;3307
1987;2365
1988;2494
1989;2992
1990;2937
1991;2226
1992;2838
1993;2981
1994;3296
1995;3115
1996;2857
1997;1925
1998;2206
1999;2312
2000;1693
2001;1563
2002;1705
2003;1530
2004;1376
2005;1111
