årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;0
1959;0
1960;0
1961;0
1962;0
1963;0
1964;0
1965;0
1966;0
1967;0
1968;0
1969;0
1970;119126
1971;121176
1972;124817
1973;146037
1974;145064
1975;164931
1976;142505
1977;150260
1978;145077
1979;142174
1980;137792
1981;142418
1982;149506
1983;162418
1984;144312
1985;153854
1986;163040
1987;155715
1988;170953
1989;183891
1990;175188
1991;148587
1992;163105
1993;147722
1994;140660
1995;136069
1996;130484
1997;114268
1998;126709
1999;143196
2000;118129
2001;124333
2002;119077
2003;134758
2004;134945
2005;130512
