årstal;antal
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;0
1959;0
1960;0
1961;0
1962;0
1963;0
1964;0
1965;0
1966;0
1967;0
1968;0
1969;0
1970;4004
1971;4134
1972;4031
1973;5241
1974;4976
1975;3993
1976;2899
1977;2511
1978;2307
1979;3154
1980;3246
1981;1978
1982;3241
1983;3397
1984;2410
1985;2808
1986;2361
1987;3062
1988;3354
1989;4220
1990;2864
1991;2486
1992;2333
1993;1666
1994;1533
1995;985
1996;805
1997;1065
1998;1207
1999;1080
2000;1029
2001;811
2002;919
2003;985
2004;1379
2005;930
