årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;0
1959;0
1960;0
1961;0
1962;0
1963;0
1964;0
1965;0
1966;0
1967;0
1968;0
1969;0
1970;1338
1971;1051
1972;1351
1973;1895
1974;1592
1975;1825
1976;1166
1977;896
1978;735
1979;547
1980;567
1981;933
1982;657
1983;637
1984;600
1985;430
1986;337
1987;417
1988;363
1989;446
1990;266
1991;598
1992;273
1993;435
1994;290
1995;248
1996;260
1997;242
1998;158
1999;226
2000;241
2001;181
2002;253
2003;167
2004;186
2005;82
