årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;0
1959;0
1960;0
1961;0
1962;0
1963;0
1964;0
1965;0
1966;0
1967;0
1968;0
1969;0
1970;54
1971;34
1972;50
1973;57
1974;42
1975;56
1976;42
1977;52
1978;72
1979;57
1980;69
1981;68
1982;86
1983;64
1984;73
1985;62
1986;79
1987;76
1988;96
1989;118
1990;102
1991;120
1992;26
1993;32
1994;58
1995;53
1996;63
1997;63
1998;108
1999;69
2000;33
2001;60
2002;56
2003;53
2004;87
2005;92
