årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;0
1959;0
1960;0
1961;0
1962;0
1963;0
1964;0
1965;0
1966;0
1967;0
1968;0
1969;0
1970;5017
1971;8685
1972;5335
1973;8666
1974;11719
1975;13183
1976;6420
1977;12219
1978;13288
1979;6425
1980;9919
1981;8495
1982;8822
1983;7748
1984;10722
1985;4020
1986;4606
1987;3318
1988;5117
1989;9444
1990;4588
1991;3507
1992;6768
1993;3143
1994;2460
1995;3649
1996;1287
1997;2873
1998;2409
1999;3519
2000;1396
2001;1110
2002;1305
2003;996
2004;1151
2005;609
