årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;0
1959;0
1960;0
1961;0
1962;0
1963;0
1964;0
1965;0
1966;0
1967;0
1968;0
1969;0
1970;33207
1971;35486
1972;36005
1973;40101
1974;42821
1975;49044
1976;45140
1977;45798
1978;41170
1979;42332
1980;41935
1981;43348
1982;44320
1983;54016
1984;44820
1985;54763
1986;54643
1987;48372
1988;56828
1989;57123
1990;60869
1991;47172
1992;52365
1993;50790
1994;45997
1995;46822
1996;46894
1997;38400
1998;45638
1999;47817
2000;40823
2001;42301
2002;38969
2003;44228
2004;41511
2005;43307
