årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;0
1959;0
1960;0
1961;0
1962;0
1963;0
1964;0
1965;0
1966;0
1967;0
1968;0
1969;0
1970;9892
1971;10017
1972;12274
1973;14044
1974;13261
1975;15620
1976;13351
1977;15551
1978;17100
1979;20087
1980;20322
1981;22827
1982;23934
1983;27999
1984;23290
1985;28120
1986;29360
1987;33541
1988;35392
1989;35098
1990;34554
1991;28146
1992;32869
1993;27225
1994;35334
1995;28405
1996;24837
1997;20392
1998;24215
1999;27090
2000;22979
2001;22725
2002;23316
2003;25771
2004;23878
2005;23915
