årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;0
1959;0
1960;0
1961;0
1962;0
1963;0
1964;0
1965;0
1966;0
1967;0
1968;0
1969;0
1970;361
1971;268
1972;246
1973;297
1974;421
1975;610
1976;437
1977;398
1978;628
1979;562
1980;536
1981;402
1982;365
1983;642
1984;404
1985;418
1986;500
1987;723
1988;440
1989;689
1990;453
1991;538
1992;932
1993;544
1994;401
1995;419
1996;257
1997;270
1998;400
1999;385
2000;355
2001;409
2002;675
2003;594
2004;491
2005;701
