årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;0
1959;0
1960;0
1961;0
1962;0
1963;0
1964;0
1965;0
1966;0
1967;0
1968;0
1969;0
1970;8874
1971;8776
1972;8914
1973;10252
1974;10124
1975;11213
1976;9817
1977;8440
1978;7853
1979;7346
1980;7768
1981;7182
1982;7135
1983;6942
1984;5663
1985;6567
1986;7028
1987;5833
1988;6680
1989;5340
1990;4845
1991;4096
1992;4936
1993;4924
1994;4228
1995;4090
1996;3271
1997;2262
1998;2398
1999;2309
2000;1799
2001;1800
2002;1351
2003;1421
2004;1503
2005;1375
