årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;0
1959;0
1960;0
1961;0
1962;0
1963;0
1964;0
1965;0
1966;0
1967;0
1968;0
1969;0
1970;5412
1971;5312
1972;5456
1973;5763
1974;4785
1975;5127
1976;4537
1977;4324
1978;4182
1979;4628
1980;4348
1981;4671
1982;4487
1983;3432
1984;3829
1985;4081
1986;4176
1987;4802
1988;4414
1989;4387
1990;3917
1991;3692
1992;2868
1993;3147
1994;2080
1995;2588
1996;3182
1997;2776
1998;3585
1999;3569
2000;2983
2001;3314
2002;2929
2003;2682
2004;3271
2005;3058
