årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;0
1959;0
1960;0
1961;0
1962;0
1963;0
1964;0
1965;0
1966;0
1967;0
1968;0
1969;0
1970;5976
1971;6007
1972;6134
1973;7404
1974;5873
1975;6505
1976;6683
1977;6462
1978;6312
1979;7434
1980;6321
1981;7462
1982;6566
1983;4372
1984;4396
1985;3709
1986;4541
1987;4570
1988;4202
1989;4711
1990;4359
1991;3758
1992;2970
1993;3368
1994;2458
1995;3533
1996;3700
1997;3905
1998;4034
1999;5458
2000;3965
2001;4374
2002;3357
2003;3814
2004;4774
2005;3977
