årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;0
1959;0
1960;0
1961;0
1962;0
1963;0
1964;0
1965;0
1966;0
1967;0
1968;0
1969;0
1970;7973
1971;6506
1972;6456
1973;7117
1974;6628
1975;6930
1976;6620
1977;6018
1978;6367
1979;6908
1980;6697
1981;7119
1982;4635
1983;4195
1984;4618
1985;4637
1986;5275
1987;5726
1988;4541
1989;4276
1990;4067
1991;3430
1992;2951
1993;2422
1994;1629
1995;1553
1996;1500
1997;1293
1998;1279
1999;1050
2000;1026
2001;798
2002;671
2003;1122
2004;1049
2005;872
