årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;0
1959;0
1960;0
1961;0
1962;0
1963;0
1964;0
1965;0
1966;0
1967;0
1968;0
1969;0
1970;15405
1971;13145
1972;15682
1973;18362
1974;18470
1975;22319
1976;20880
1977;22329
1978;22391
1979;21266
1980;17199
1981;17503
1982;20058
1983;23490
1984;20685
1985;23035
1986;26748
1987;23336
1988;25953
1989;28833
1990;30674
1991;29075
1992;30503
1993;27515
1994;23688
1995;24679
1996;26205
1997;25201
1998;24017
1999;32219
2000;24469
2001;28947
2002;27796
2003;33467
2004;33734
2005;32085
