årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;0
1959;0
1960;0
1961;0
1962;0
1963;0
1964;0
1965;0
1966;0
1967;0
1968;0
1969;0
1970;827
1971;879
1972;1236
1973;1289
1974;1426
1975;1517
1976;1506
1977;1563
1978;1415
1979;1473
1980;1490
1981;1915
1982;1751
1983;2213
1984;2076
1985;2153
1986;2119
1987;2252
1988;2512
1989;2759
1990;2988
1991;2892
1992;3340
1993;3784
1994;3250
1995;3639
1996;3630
1997;2864
1998;3054
1999;3336
2000;2870
2001;3122
2002;2667
2003;3147
2004;3198
2005;2913
