årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;0
1959;0
1960;0
1961;0
1962;0
1963;0
1964;0
1965;0
1966;0
1967;0
1968;0
1969;0
1970;4483
1971;4931
1972;6174
1973;5569
1974;4781
1975;4777
1976;4396
1977;4178
1978;3225
1979;4414
1980;3862
1981;3988
1982;4243
1983;3207
1984;3449
1985;2468
1986;2366
1987;2786
1988;3321
1989;3311
1990;3273
1991;3228
1992;3129
1993;3651
1994;2538
1995;2581
1996;3770
1997;2970
1998;3888
1999;4391
2000;3197
2001;4517
2002;4672
2003;4559
2004;4654
2005;4676
