årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;0
1959;0
1960;0
1961;0
1962;0
1963;0
1964;0
1965;0
1966;0
1967;0
1968;0
1969;0
1970;1255
1971;1285
1972;1276
1973;1398
1974;1252
1975;1389
1976;1265
1977;1261
1978;1044
1979;1251
1980;1096
1981;1032
1982;962
1983;1036
1984;1064
1985;1141
1986;1194
1987;1140
1988;1420
1989;1321
1990;1547
1991;1182
1992;1269
1993;1508
1994;1125
1995;1363
1996;1422
1997;1333
1998;1573
1999;1490
2000;1202
2001;1078
2002;1086
2003;1036
2004;1164
2005;997
