årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;0
1959;0
1960;0
1961;0
1962;0
1963;0
1964;0
1965;0
1966;0
1967;0
1968;0
1969;0
1970;282
1971;201
1972;309
1973;497
1974;318
1975;648
1976;456
1977;571
1978;732
1979;491
1980;545
1981;393
1982;431
1983;371
1984;351
1985;357
1986;559
1987;389
1988;453
1989;523
1990;547
1991;476
1992;651
1993;620
1994;463
1995;416
1996;578
1997;368
1998;400
1999;413
2000;673
2001;539
2002;565
2003;337
2004;677
2005;552
