årstal;antal
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;26902
1956;25715
1957;28885
1958;30118
1959;40887
1960;33017
1961;42180
1962;31477
1963;30209
1964;31801
1965;25782
1966;23682
1967;25871
1968;26500
1969;28181
1970;23836
1971;23262
1972;19707
1973;21163
1974;20278
1975;23580
1976;25385
1977;25164
1978;22497
1979;16585
1980;11464
1981;9279
1982;7288
1983;8010
1984;6802
1985;8562
1986;9309
1987;7078
1988;7834
1989;9329
1990;9596
1991;8499
1992;9216
1993;10955
1994;11080
1995;11761
1996;10242
1997;8075
1998;8856
1999;8329
2000;7441
2001;7065
2002;6868
2003;7008
2004;6056
2005;5641
