årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;349745
1956;309079
1957;355889
1958;399984
1959;519759
1960;418635
1961;525544
1962;448237
1963;468654
1964;500721
1965;479035
1966;463193
1967;534360
1968;551721
1969;521807
1970;456320
1971;458702
1972;453658
1973;504070
1974;469821
1975;542096
1976;507474
1977;501397
1978;478746
1979;429673
1980;426945
1981;437560
1982;476212
1983;501695
1984;438483
1985;464955
1986;461513
1987;396178
1988;473180
1989;488259
1990;474230
1991;432965
1992;458300
1993;441331
1994;441124
1995;457192
1996;415656
1997;358646
1998;414035
1999;449944
2000;378446
2001;414527
2002;388433
2003;428363
2004;435529
2005;436482
