årstal;antal
1959;8861
1960;6484
1961;11679
1962;13078
1963;13056
1964;16992
1965;14749
1966;13756
1967;18170
1968;14362
1969;15118
1970;15503
1971;14969
1972;15866
1973;18376
1974;12961
1975;19696
1976;13024
1977;12033
1978;12750
1979;11046
1980;14203
1981;15979
1982;17713
1983;18394
1984;14430
1985;13971
1986;13335
1987;9351
1988;15618
1989;18584
1990;17427
1991;18231
1992;16416
1993;13276
1994;17433
1995;18415
1996;10606
1997;8949
1998;9217
1999;11141
2000;12248
2001;14598
2002;12373
2003;17308
2004;18683
2005;17675
