årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;2113
1956;2055
1957;1956
1958;2428
1959;3825
1960;2875
1961;3082
1962;3376
1963;3134
1964;3367
1965;2955
1966;3365
1967;3404
1968;3838
1969;3584
1970;3439
1971;2998
1972;3360
1973;4861
1974;3460
1975;3832
1976;2962
1977;3646
1978;1479
1979;1102
1980;1456
1981;1773
1982;1194
1983;1196
1984;937
1985;787
1986;674
1987;520
1988;456
1989;931
1990;683
1991;1000
1992;524
1993;682
1994;575
1995;598
1996;644
1997;381
1998;364
1999;289
2000;336
2001;306
2002;422
2003;316
2004;344
2005;352
