årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;6026
1959;7148
1960;6399
1961;6807
1962;6816
1963;7056
1964;6787
1965;9577
1966;7416
1967;8270
1968;13859
1969;8839
1970;7013
1971;12674
1972;9735
1973;16962
1974;12710
1975;23630
1976;11297
1977;18052
1978;17305
1979;10413
1980;14161
1981;10079
1982;15989
1983;16624
1984;12507
1985;8209
1986;6861
1987;5007
1988;5365
1989;4998
1990;5982
1991;4540
1992;7604
1993;4074
1994;4627
1995;5653
1996;4741
1997;4252
1998;2455
1999;3496
2000;2760
2001;2127
2002;2193
2003;1654
2004;2350
2005;1537
