årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;92189
1956;79070
1957;97427
1958;98744
1959;166321
1960;109821
1961;162468
1962;116125
1963;142277
1964;160676
1965;145297
1966;149520
1967;177557
1968;173264
1969;155420
1970;149925
1971;149050
1972;142974
1973;153098
1974;154137
1975;168845
1976;164003
1977;157121
1978;153479
1979;152963
1980;143080
1981;143794
1982;145066
1983;155685
1984;155148
1985;170481
1986;179936
1987;149154
1988;178881
1989;186907
1990;185308
1991;155159
1992;176636
1993;182743
1994;178678
1995;184362
1996;177990
1997;156919
1998;191277
1999;205151
2000;171514
2001;185823
2002;172250
2003;179778
2004;184247
2005;186938
