årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;53391
1956;36874
1957;45174
1958;65201
1959;60821
1960;49026
1961;65365
1962;56358
1963;59036
1964;65768
1965;59377
1966;60780
1967;67511
1968;64854
1969;61194
1970;47553
1971;52997
1972;56039
1973;60093
1974;45782
1975;57393
1976;53953
1977;60987
1978;65716
1979;68798
1980;74180
1981;87807
1982;85180
1983;96062
1984;80408
1985;91735
1986;100270
1987;91592
1988;114776
1989;111406
1990;103734
1991;97155
1992;99874
1993;92854
1994;102048
1995;106932
1996;90380
1997;78071
1998;91171
1999;100224
2000;75917
2001;82513
2002;80795
2003;84105
2004;78798
2005;82347
