årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;580
1956;335
1957;423
1958;808
1959;621
1960;1117
1961;828
1962;1251
1963;2025
1964;1517
1965;1184
1966;1346
1967;1712
1968;1039
1969;2970
1970;1557
1971;1330
1972;952
1973;1534
1974;1273
1975;1491
1976;1492
1977;1509
1978;1989
1979;1878
1980;2487
1981;3808
1982;1745
1983;2863
1984;2008
1985;3176
1986;3057
1987;2962
1988;3188
1989;2901
1990;2732
1991;2876
1992;3152
1993;3359
1994;3550
1995;3674
1996;4011
1997;2173
1998;5068
1999;3872
2000;2991
2001;4711
2002;3837
2003;7686
2004;6087
2005;8489
