årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;71176
1956;70968
1957;80283
1958;77283
1959;91341
1960;80443
1961;93851
1962;76495
1963;77997
1964;76441
1965;73337
1966;64746
1967;70747
1968;64689
1969;60966
1970;54514
1971;55999
1972;56582
1973;58367
1974;59381
1975;64940
1976;63159
1977;49489
1978;48119
1979;40711
1980;42541
1981;42281
1982;44946
1983;45054
1984;37885
1985;40786
1986;39712
1987;32812
1988;34458
1989;28982
1990;27474
1991;24932
1992;29034
1993;30512
1994;29839
1995;29127
1996;23515
1997;17519
1998;18499
1999;18216
2000;15991
2001;15007
2002;14030
2003;15191
2004;13447
2005;12464
