årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;9764
1956;8635
1957;8347
1958;8722
1959;9080
1960;8319
1961;8882
1962;8666
1963;9223
1964;11538
1965;10500
1966;10942
1967;12584
1968;9833
1969;7263
1970;7345
1971;6504
1972;5977
1973;5586
1974;5031
1975;5169
1976;4882
1977;4115
1978;3785
1979;3609
1980;3375
1981;3791
1982;2963
1983;2131
1984;2051
1985;2250
1986;2188
1987;2272
1988;2284
1989;2410
1990;2275
1991;2429
1992;1443
1993;1471
1994;889
1995;1515
1996;1845
1997;1737
1998;1952
1999;2055
2000;1857
2001;2144
2002;1856
2003;2267
2004;2456
2005;2342
