årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;18795
1956;16040
1957;15061
1958;13967
1959;16153
1960;14686
1961;15025
1962;14665
1963;14538
1964;16268
1965;15590
1966;17382
1967;18401
1968;21790
1969;19172
1970;18443
1971;16463
1972;15413
1973;16594
1974;13999
1975;16931
1976;17229
1977;15987
1978;16106
1979;14780
1980;14015
1981;14212
1982;12913
1983;7458
1984;7562
1985;6517
1986;7660
1987;7078
1988;8213
1989;8213
1990;7900
1991;6775
1992;5540
1993;5015
1994;3498
1995;5065
1996;6618
1997;6929
1998;6892
1999;9557
2000;7354
2001;8862
2002;8006
2003;9611
2004;10689
2005;10769
