årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;5004
1956;4675
1957;4480
1958;8267
1959;7070
1960;7326
1961;7999
1962;9130
1963;9936
1964;11301
1965;12984
1966;15551
1967;14973
1968;17167
1969;19802
1970;17814
1971;17513
1972;18372
1973;20538
1974;19599
1975;20628
1976;19896
1977;20192
1978;18521
1979;16884
1980;17222
1981;15252
1982;13786
1983;10932
1984;11327
1985;10218
1986;9893
1987;9639
1988;7942
1989;8670
1990;7123
1991;6715
1992;6422
1993;5735
1994;4639
1995;3905
1996;3517
1997;2763
1998;2725
1999;2868
2000;2753
2001;2387
2002;2149
2003;2653
2004;1881
2005;1863
