årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;44347
1956;37114
1957;43805
1958;41360
1959;50405
1960;49302
1961;50940
1962;58540
1963;48406
1964;48624
1965;53220
1966;47099
1967;56539
1968;52689
1969;48528
1970;39349
1971;34370
1972;38477
1973;40644
1974;37844
1975;43533
1976;44373
1977;43674
1978;43855
1979;35218
1980;28187
1981;28054
1982;26600
1983;31477
1984;27927
1985;27945
1986;30697
1987;27367
1988;28160
1989;33926
1990;35832
1991;35960
1992;36934
1993;33195
1994;27110
1995;27278
1996;30358
1997;29108
1998;28586
1999;34738
2000;28676
2001;37356
2002;34737
2003;39998
2004;42158
2005;45741
