årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;3845
1956;3861
1957;4274
1958;4284
1959;4717
1960;4140
1961;5672
1962;5827
1963;5287
1964;5156
1965;5298
1966;4946
1967;4957
1968;5917
1969;5951
1970;4530
1971;4241
1972;4504
1973;4859
1974;5083
1975;5168
1976;5753
1977;6200
1978;5776
1979;6272
1980;6336
1981;7515
1982;7006
1983;7076
1984;6752
1985;7148
1986;7383
1987;6980
1988;7572
1989;8546
1990;9537
1991;9342
1992;10048
1993;11505
1994;10455
1995;11172
1996;11000
1997;8597
1998;9156
1999;9416
2000;8553
2001;9415
2002;9271
2003;10084
2004;9733
2005;9551
