årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;9230
1956;11462
1957;13328
1958;12919
1959;12497
1960;9361
1961;8901
1962;8639
1963;11069
1964;12537
1965;10164
1966;7687
1967;9703
1968;14045
1969;16164
1970;10450
1971;10737
1972;10439
1973;11893
1974;9714
1975;10156
1976;10849
1977;8746
1978;7578
1979;7039
1980;6451
1981;6412
1982;5895
1983;4529
1984;5498
1985;4602
1986;5611
1987;5545
1988;4939
1989;5153
1990;5715
1991;5167
1992;4466
1993;5680
1994;5029
1995;5125
1996;6359
1997;5809
1998;8652
1999;7931
2000;6885
2001;8282
2002;8854
2003;8397
2004;9678
2005;9400
