årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;1534
1956;1433
1957;1541
1958;1549
1959;1477
1960;1520
1961;2120
1962;1905
1963;2066
1964;2112
1965;2283
1966;2107
1967;2004
1968;2656
1969;2878
1970;2702
1971;2745
1972;2744
1973;2230
1974;2309
1975;2305
1976;2232
1977;2084
1978;1975
1979;1967
1980;1796
1981;1689
1982;1680
1983;1576
1984;1729
1985;2216
1986;2063
1987;2227
1988;2132
1989;2355
1990;2362
1991;2077
1992;2196
1993;2574
1994;2158
1995;2557
1996;2959
1997;2333
1998;3000
1999;2853
2000;2241
2001;2405
2002;2011
2003;2157
2004;2356
2005;2300
