årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;18
1956;61
1957;64
1958;31
1959;54
1960;22
1961;18
1962;19
1963;39
1964;23
1965;23
1966;31
1967;27
1968;29
1969;14
1970;6
1971;5
1972;8
1973;9
1974;8
1975;5
1976;8
1977;48
1978;19
1979;10
1980;18
1981;36
1982;15
1983;22
1984;7
1985;16
1986;23
1987;16
1988;46
1989;93
1990;35
1991;41
1992;7
1993;14
1994;31
1995;52
1996;78
1997;52
1998;26
1999;17
2000;48
2001;36
2002;25
2003;19
2004;6
2005;22
