årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;659
1956;987
1957;888
1958;1255
1959;1887
1960;2366
1961;2083
1962;1950
1963;2018
1964;1133
1965;1147
1966;1198
1967;1467
1968;1486
1969;1771
1970;2051
1971;1375
1972;1694
1973;2346
1974;1775
1975;2671
1976;2931
1977;2615
1978;3260
1979;2819
1980;2793
1981;2232
1982;1937
1983;1532
1984;1736
1985;1924
1986;2334
1987;1938
1988;2166
1989;2275
1990;2543
1991;1973
1992;2729
1993;2567
1994;2236
1995;2457
1996;2654
1997;1788
1998;2337
1999;2149
2000;2759
2001;3028
2002;3045
2003;1881
2004;3294
2005;2535
