årstal;antal
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;26104
1956;26603
1957;33398
1958;23954
1959;29333
1960;25073
1961;29956
1962;16036
1963;16280
1964;20269
1965;18653
1966;21754
1967;30611
1968;29116
1969;30261
1970;22541
1971;27677
1972;22964
1973;20339
1974;19683
1975;20212
1976;13442
1977;11419
1978;5676
1979;3202
1980;2914
1981;3007
1982;3851
1983;4462
1984;4175
1985;4383
1986;5358
1987;3898
1988;5772
1989;10076
1990;9110
1991;7674
1992;8691
1993;9400
1994;6638
1995;4791
1996;3974
1997;3594
1998;3757
1999;3430
2000;3022
2001;3371
2002;3675
2003;3545
2004;3257
2005;3207
